"","time","S","I","R","Total"
"1",1,99.9999,1e-04,0,1e-04
"2",2,99.9998281598666,0.000141906663140089,2.99334703126148e-05,0.000171840133452704
"3",3,99.9997262144361,0.000201374641588203,7.24109222807999e-05,0.000273785563869003
"4",4,99.9995815478013,0.000285763094632233,0.000132689104072518,0.000418452198704751
"5",5,99.9993762577018,0.000405514761179939,0.000218227537036885,0.000623742298216824
"6",6,99.9990849401458,0.00057544813412357,0.00033961172004289,0.00091505985416646
"7",7,99.9986715497606,0.000816588660981241,0.000511861578403807,0.00132845023938505
"8",8,99.9980849352482,0.00115877253138689,0.000756292220420777,0.00191506475180767
"9",9,99.9972525209061,0.00164433139135108,0.00110314770250332,0.0027474790938544
"10",10,99.9960713317788,0.0023333255215564,0.00159534269960907,0.00392866822116547
"11",11,99.9943952725788,0.00331096013588131,0.00229376728531883,0.00560472742120014
"12",12,99.9920170908374,0.00469809815744492,0.00328481100513483,0.00798290916257974
"13",13,99.9886428124589,0.00666615524422793,0.00469103229686092,0.0113571875410889
"14",14,99.983855540337,0.00945818193564597,0.00668627772736046,0.0161444596630064
"15",15,99.9770642040854,0.0134186885012018,0.009517107413417,0.0229357959146188
"16",16,99.9674311265473,0.0190357548476052,0.0135331186051052,0.0325688734527104
"17",17,99.9537697701867,0.0270003910824769,0.0192298387307924,0.0462302298132693
"18",18,99.9344007465657,0.0382899549344736,0.0273092984998813,0.0655992534343549
"19",19,99.9069497223389,0.0542848835905968,0.038765394070556,0.0930502776611527
"20",20,99.8680650167515,0.0769311123169939,0.0550038709315247,0.131934983248519
"21",21,99.8130257980079,0.108964007607182,0.0780101943849712,0.186974201992153
"22",22,99.7352035116919,0.154213340655156,0.110583147652995,0.264796488308151
"23",23,99.6253324361052,0.218010630025932,0.156656933868964,0.374667563894896
"24",24,99.470541779752,0.30771802382496,0.221740196423102,0.529458220248062
"25",25,99.2531134857092,0.433383597888703,0.313502916402171,0.746886514290874
"26",26,98.9489668337726,0.608492577836018,0.442540588391456,1.05103316622747
"27",27,98.5259657989042,0.850706139838053,0.623328061257741,1.47403420109579
"28",28,97.9423326223368,1.18233518127501,0.875332196388258,2.05766737766326
"29",29,97.1457698494692,1.6300674675336,1.2241626829972,2.8542301505308
"30",30,96.0743437255234,2.22317240991006,1.70248386456657,3.92565627447663
"31",31,94.6606302566088,2.989186873779,2.35018286961228,5.33936974339127
"32",32,92.8406518356494,3.94629153292076,3.21305663142989,7.15934816435065
"33",33,90.5680901254003,5.09271697380208,4.33919290079767,9.43190987459974
"34",34,87.8315557394061,6.39586281125176,5.77258144934213,12.1684442605939
"35",35,84.6690523286067,7.78644351722655,7.54450415416673,15.3309476713933
"36",36,81.1718589630514,9.16342819585338,9.66471284109521,18.8281410369486
"37",37,77.4730389224458,10.4115150317417,12.1154460458125,22.5269610775542
"38",38,73.7233550509474,11.4257566493124,14.8508882997402,26.2766449490526
"39",39,70.064107143795,12.1332547861399,17.8026380700651,29.935892856205
"40",40,66.6069600752919,12.5037250970668,20.8893148276413,33.3930399247082
"41",41,63.4254803639985,12.5473386654076,24.0271809705939,36.5745196360016
"42",42,60.5569638768118,12.3040064602042,27.139029662984,39.4430361231882
"43",43,58.010030094126,11.8300172643766,30.1599526414975,41.989969905874
"44",44,55.7737310843219,11.1863585409985,33.0399103746796,44.2262689156781
"45",45,53.8255894320348,10.4305979851801,35.7438125827851,46.1744105679652
"46",46,52.1375994948762,9.61236998400415,38.2500305211197,47.8624005051239
"47",47,50.6802197271787,8.77163332996051,40.5481469428608,49.3197802728213
"48",48,49.4247599776483,7.93871984165438,42.6365201806974,50.5752400223517
"49",49,48.3446628499679,7.13535033654612,44.519986813486,51.6553371500321
"50",50,47.4160564945064,6.37605990827201,46.2078835972216,52.5839435054936
"51",51,46.6178825844964,5.66967958264647,47.7124378328571,53.3821174155036
"52",52,45.9317879715471,5.02069656282085,49.0475154656321,54.068212028453
"53",53,45.3419011313212,4.43041454828972,50.2276843203891,54.6580988686788
"54",54,44.8345627557514,3.89789646624811,51.2675407780005,55.1654372442486
"55",55,44.3980524121778,3.42070200153906,52.1812455862832,55.6019475878223
"56",56,44.0223291676413,2.99544924743553,52.9822215849232,55.9776708323587
"57",57,43.6987965046621,2.61823027431186,53.682973221026,56.3012034953379
"58",58,43.4200956680121,2.28490985505248,54.2949944769355,56.579904331988
"59",59,43.1799260685177,1.99133442613681,54.8287395053455,56.8200739314823
"60",60,42.9728904122539,1.73347262204717,55.293636965699,57.0271095877461
"61",61,42.7943623283519,1.50750482945106,55.698132842197,57.2056376716481
"62",62,42.6403735264822,1.30987615270916,56.0497503208087,57.3596264735178
"63",63,42.5075177728772,1.13732237346341,56.3551598536595,57.4924822271229
"64",64,42.3928692425017,0.986877551435325,56.620253206063,57.6071307574983
"65",65,42.2939131806242,0.855869249971839,56.850217569404,57.7060868193759
"66",66,42.2084867934633,0.741905724260566,57.0496074822761,57.7915132065367
"67",67,42.1347289497655,0.642858284652231,57.2224127655823,57.8652710502345
"68",68,42.0710372571924,0.556840892770082,57.3721218500375,57.9289627428076
"69",69,42.0160314549624,0.482188778433778,57.5017797666039,57.9839685450377
"70",70,41.968522128172,0.417437093265291,57.6140407785627,58.031477871828
"71",71,41.9274839346396,0.36130028957242,57.7112157757879,58.0725160653604
"72",72,41.8920326860266,0.312652684214728,57.7953146297587,58.1079673139734
"73",73,41.8614056916726,0.270510426457733,57.8680838818697,58.1385943083274
"74",74,41.8349448956639,0.234014999019172,57.9310401053169,58.1650551043362
"75",75,41.8120823948228,0.202418268644935,57.9854993365323,58.1879176051773
"76",76,41.7923279908986,0.175069046850357,58.0326029622511,58.2076720091015
"77",77,41.775258486524,0.151401088383257,58.0733404250928,58.2247415134761
"78",78,41.7605084710857,0.130922427521649,58.1085691013927,58.2394915289144
"79",79,41.7477623893885,0.113205944216435,58.1390316663951,58.2522376106116
"80",80,41.7367477106846,0.0978810478213015,58.1653712414941,58.2632522893155
"81",81,41.7272290376379,0.0846263667970767,58.1881445955651,58.2727709623622
"82",82,41.7190030286409,0.0731633397393982,58.2078336316197,58.2809969713591
"83",83,41.7118940199132,0.0632506082118414,58.2248553718749,58.2881059800868
"84",84,41.7057502483885,0.0546791192721832,58.2395706323393,58.2942497516115
"85",85,41.7004405924447,0.0472678544983533,58.252291553057,58.2995594075554
"86",86,41.6958517589278,0.0408601100717133,58.2632881310005,58.3041482410722
"87",87,41.691885854902,0.0353202603362365,58.2727938847618,58.3081141450981
"88",88,41.6884582911731,0.0305309446253498,58.2810107642016,58.3115417088269
"89",89,41.6854959719857,0.0263906239235155,58.2881134040908,58.3145040280143
"90",90,41.6829357316387,0.0228114601908825,58.2942528081704,58.3170642683613
"91",91,41.6807229841949,0.0197174768127365,58.2995595389924,58.3192770158052
"92",92,41.6788105571287,0.01704296370448,58.3041464791668,58.3211894428713
"93",93,41.677157683775,0.0147310951296277,58.3081112210954,58.322842316225
"94",94,41.6757291328953,0.0127327323037121,58.3115381348011,58.3242708671048
"95",95,41.6744944566555,0.0110053864103814,58.3145001569341,58.3255055433445
"96",96,41.6734273408739,0.00951232078606695,58.3170603383401,58.3265726591262
"97",97,41.6725050436023,0.00822177377974108,58.319273182618,58.3274949563978
"98",98,41.671707910016,0.00710628620497354,58.3211858037791,58.3282920899841
"99",99,41.6710189532235,0.00614211940985846,58.3228389273667,58.3289810467766
"100",100,41.6704234920286,0.00530875183143908,58.3242677561399,58.3295765079714
"101",101,41.6699088378996,0.00458844350644134,58.325502718594,58.3300911621005
"102",102,41.6694640244536,0.00396585940791734,58.3265701161385,58.3305359755464
"103",103,41.6690795736797,0.0034277436933307,58.3274926826269,58.3309204263203
"104",104,41.6687472939051,0.00296263800636764,58.3282900680885,58.3312527060949
"105",105,41.6684601051941,0.00256063789246879,58.3289792569135,58.3315398948059
"106",106,41.6682118884515,0.00221318218451136,58.329574929364,58.3317881115485
"107",107,41.667997355012,0.00191287090586152,58.3300897740821,58.332002644988
"108",108,41.667811933932,0.00165330783688536,58.3305347582311,58.332188066068
"109",109,41.6676516745814,0.00142896440996738,58.3309193610087,58.3323483254187
"110",110,41.6675131624568,0.00123506204763754,58.3312517754956,58.3324868375432
"111",111,41.6673934464222,0.00106747044771443,58.3315390831302,58.3326065535779
"112",112,41.6672899758239,0.000922619656416281,58.3317874045198,58.3327100241762
"113",113,41.6672005461416,0.000797424062122178,58.3320020297963,58.3327994538584
"114",114,41.6671232520153,0.000689216694924978,58.3321875312898,58.3328767479847
"115",115,41.6670564466466,0.000595692435554255,58.3323478609179,58.3329435533535
"116",116,41.6669987067109,0.000514858926219219,58.332486434363,58.3330012932892
"117",117,41.6669488020307,0.000444994139381669,58.33260620383,58.3330511979694
"118",118,41.6669056693648,0.000384609701846309,58.3327097209335,58.3330943306353
"119",119,41.6668683897545,0.000332419193821822,58.3327991910518,58.3331316102456
"120",120,41.6668361689442,0.000287310748335782,58.3328765203076,58.3331638310559
"121",121,41.6668083204587,0.000248323367809787,58.3329433561736,58.3331916795414
"122",122,41.6667842509776,0.000214626453649211,58.3330011225688,58.3332157490225
"123",123,41.6667634476937,0.000185502113046114,58.3330510501933,58.3332365523064
"124",124,41.6667454673875,0.000160329866280961,58.3330942027463,58.3332545326126
"125",125,41.6667299269843,0.000138573428890585,58.3331314995869,58.3332700730158
"126",126,41.666716495392,0.000119769287229536,58.3331637353208,58.3332835046081
"127",127,41.6667048864477,0.000103516824126279,58.3331915967282,58.3332951135523
"128",128,41.6666948528205,8.94697843352498e-05,58.3332156773953,58.3333051471796
"129",129,41.6666861807418,7.7328898011246e-05,58.3332364903603,58.3333138192583
"130",130,41.6666786854514,6.68355050902629e-05,58.3332544790436,58.3333213145487
"131",131,41.6666722072608,5.7766044774686e-05,58.3332700266945,58.3333277927393
"132",132,41.6666666081509,4.99272927439999e-05,58.3332834645564,58.3333333918492
"133",133,41.6666617688318,4.31522446366357e-05,58.3332950789236,58.3333382311683
"134",134,41.666657586201,3.72965581130454e-05,58.333305117241,58.3333424137991
"135",135,41.6666539711468,3.22354777074348e-05,58.3333137933755,58.3333460288533
"136",136,41.66665084665,2.78611769589952e-05,58.3333212921732,58.3333491533501
"137",137,41.6666481461425,2.4080461201823e-05,58.3333277733964,58.3333518538576
"138",138,41.6666458120898,2.08127820752232e-05,58.3333333751282,58.3333541879103
"139",139,41.6666437947644,1.79885214563056e-05,58.3333382167142,58.3333562052357
"140",140,41.6666420511869,1.55475082560948e-05,58.3333424013049,58.3333579488132
"141",141,41.6666405442102,1.34377364809871e-05,58.3333460180533,58.3333594557899
"142",142,41.6666392417279,1.16142572489455e-05,58.3333491440149,58.3333607582721
"143",143,41.6666381159905,1.00382211556319e-05,58.3333518457884,58.3333618840096
"144",144,41.6666371430138,8.67605058866353e-06,58.3333541809357,58.3333628569863
"145",145,41.6666363020686,7.49872435656199e-06,58.3333561992071,58.3333636979315
"146",146,41.6666355752383,6.48115939171229e-06,58.3333579436024,58.3333644247618
"147",147,41.6666349470378,5.60167635472217e-06,58.3333594512859,58.3333650529623
"148",148,41.666634404083,4.84153775502971e-06,58.3333607543793,58.333365595917
"149",149,41.6666339348064,4.18454874751977e-06,58.3333618806449,58.3333660651937
"150",150,41.6666335292099,3.61671210018896e-06,58.333362854078,58.3333664707902
